CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;motivation1;motivation2;motivation3;motivation4;motivation5;motivation6;motivation7;motivation8;motivation9;Attention1;gender;gender_sonstiges;age;employment;employment1;employment2;employment3;employment4;employment5;employment6;grad;grad_sonstiges;hours;EF02;CO;CO1;support1;support2;techno1;techno2;techno3;techno4;techno5;techno6;techno7;techno8;techno9;techno10;techno11;techno12;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
292;;;aow1;interview;17.06.2026 21:47;4;2;3;3;3;4;4;2;3;2;1;;21;1;2;1;1;1;1;;2;;30;1;-9;;3;4;3;5;4;1;5;5;3;2;4;3;4;5;83;17;133;190;91;15;28;36;5;350;;17.06.2026 21:57;complete;1;0;9;9;3;0;0,61
296;;;aow1;interview;17.06.2026 21:55;4;4;5;3;5;5;7;4;4;2;1;;21;2;2;2;1;1;1;;4;;38;1;-9;;5;5;5;3;4;1;2;2;2;2;2;2;3;2;140;13;58;42;38;13;36;41;4;268;;17.06.2026 22:01;complete;1;0;9;9;3;0;0,83
298;;;aow1;interview;17.06.2026 21:58;6;6;6;6;5;6;5;5;5;2;1;;23;2;2;2;1;1;1;;4;;9;1;-9;;5;5;5;2;5;4;2;2;2;1;1;4;1;1;101;9;51;84;70;20;61;62;6;464;;17.06.2026 22:06;complete;1;0;9;9;3;0;0,58
306;;;aow1;interview;17.06.2026 22:24;3;3;4;4;4;5;6;3;4;2;2;;51;1;2;1;1;1;1;;5;;38;1;-9;;5;2;4;4;2;1;5;4;5;4;5;5;2;4;48;6;29;31;38;12;37;31;4;236;;17.06.2026 22:28;complete;1;0;9;9;3;0;1,07
308;;;aow1;interview;17.06.2026 22:26;3;3;3;3;2;3;3;3;3;2;2;;55;1;2;1;1;1;1;;5;;38;1;-9;;3;2;4;3;3;1;3;4;4;4;3;4;3;4;30;5;36;36;33;13;24;26;3;206;;17.06.2026 22:29;complete;1;0;9;9;3;0;1,18
311;;;aow1;interview;17.06.2026 22:45;4;3;3;4;4;3;3;4;3;2;2;;26;1;1;2;1;1;1;;4;;0;1;-9;;2;3;3;2;3;2;3;4;3;2;2;3;2;4;4;4;30;13;17;7;9;11;31;98;;17.06.2026 22:47;complete;1;0;9;9;3;0;2,21
321;;;aow1;interview;17.06.2026 23:46;3;3;3;2;2;3;3;2;3;2;2;;21;1;2;1;1;1;1;;5;;40;1;-9;;3;3;5;4;2;1;3;2;3;2;3;2;3;4;29;8;31;62;66;11;28;23;3;261;;17.06.2026 23:51;complete;1;0;9;9;3;0;1,03
330;;;aow1;interview;18.06.2026 06:40;5;5;5;5;5;6;6;6;6;2;2;;52;1;2;1;1;1;1;;5;;45;1;-9;;4;3;5;5;4;2;3;3;3;3;2;3;3;3;11;4;39;54;46;15;26;32;3;230;;18.06.2026 06:44;complete;1;0;9;9;3;0;1,19
333;;;aow1;interview;18.06.2026 07:27;3;3;3;3;3;4;4;4;3;2;1;;27;2;2;2;1;1;1;;7;;18;1;-9;;4;3;5;3;3;3;3;2;2;2;2;2;2;2;85;5;38;88;50;21;32;43;30;365;;18.06.2026 07:34;complete;1;0;9;9;3;0;0,72
336;;;aow1;interview;18.06.2026 07:49;5;4;4;3;4;4;6;5;4;2;1;;28;1;2;1;1;1;1;;6;;41;1;-9;;5;5;5;4;1;2;2;2;4;2;4;1;4;3;22;5;22;26;52;13;19;18;2;179;;18.06.2026 07:52;complete;1;0;9;9;3;0;1,44
338;;;aow1;interview;18.06.2026 08:27;;;;;;;;;;;;;;;;;;;;;;;;-9;;;;;;;;;;;;;;;;;134;18;;;;;;;;28;;18.06.2026 08:29;;0;0;2;2;100;100;0,22
349;;;aow1;interview;18.06.2026 11:02;2;3;4;4;4;6;5;3;3;2;1;;19;1;1;2;1;1;1;;4;;30;1;-9;;3;2;5;3;3;4;1;1;2;1;2;1;2;1;11;3;25;40;40;14;22;23;2;180;;18.06.2026 11:05;complete;1;0;9;9;3;0;1,49
352;;;aow1;interview;18.06.2026 12:24;3;3;4;3;3;3;5;3;3;2;2;;57;1;2;1;1;1;1;;8;;40;1;-9;;2;3;5;2;4;3;4;4;5;3;4;4;3;5;69;25;49;54;60;25;34;66;4;366;;18.06.2026 12:30;complete;1;0;9;9;3;0;0,66
353;;;aow1;interview;18.06.2026 13:36;4;4;4;4;4;6;4;4;4;2;1;;37;2;2;2;1;1;1;;8;;35;1;-9;;5;5;3;1;5;3;2;2;2;2;2;2;2;3;125;15;74;134;119;36;69;46;5;360;;18.06.2026 13:46;complete;1;0;9;9;3;0;0,45
354;;;aow1;interview;18.06.2026 13:42;3;6;5;3;5;4;5;5;3;2;1;;59;1;2;1;1;1;1;;8;Staatsexamen;20;1;-9;;4;1;4;2;4;4;3;2;3;3;1;2;3;2;51;4;45;43;48;22;52;49;6;320;;18.06.2026 13:47;complete;1;0;9;9;3;0;0,81
357;;;aow1;interview;18.06.2026 15:03;6;6;6;4;3;5;5;5;5;2;1;;24;2;2;2;1;1;1;;7;;16;1;-9;;3;4;2;3;2;4;2;2;3;2;2;1;4;3;6;2;18;52;39;11;24;16;2;170;;18.06.2026 15:06;complete;1;0;9;9;3;0;1,81
359;;;aow1;interview;18.06.2026 15:48;4;5;6;6;6;5;5;5;5;2;1;;53;1;2;1;1;1;1;;5;;18;1;-9;;4;4;5;3;3;1;3;3;4;3;2;2;2;4;174;14;60;248;134;27;69;74;5;365;;18.06.2026 16:01;complete;1;0;9;9;3;0;0,42
360;;;aow1;interview;18.06.2026 16:09;6;5;6;5;5;5;6;6;6;2;2;;35;1;2;1;1;1;1;;7;;40;1;-9;;5;5;2;2;1;3;2;2;1;1;1;2;1;1;14;3;18;31;27;12;18;24;1;148;;18.06.2026 16:12;complete;1;0;9;9;3;0;1,83
363;;;aow1;interview;18.06.2026 19:02;3;4;3;3;2;4;3;3;3;2;1;;49;1;2;1;1;1;1;;5;;40;1;-9;;5;4;5;5;5;1;2;2;3;2;5;2;2;2;67;13;37;61;47;18;49;35;3;330;;18.06.2026 19:07;complete;1;0;9;9;3;0;0,8
364;;;aow1;interview;18.06.2026 21:41;3;5;6;5;4;6;6;3;4;2;1;;23;2;2;2;1;1;1;;7;;41;1;-9;;4;5;4;3;5;3;2;2;3;3;2;3;3;3;6;3;26;36;121;8;18;41;2;191;;18.06.2026 21:45;complete;1;0;9;9;3;0;1,57
365;;;aow1;interview;18.06.2026 21:43;5;4;6;4;5;5;3;4;3;2;1;;19;1;2;1;1;1;1;;4;;8;1;-9;;4;3;5;4;4;4;2;3;3;3;3;1;3;4;41;3;41;51;41;17;21;21;4;240;;18.06.2026 21:47;complete;1;0;9;9;3;0;1,14
366;;;aow1;interview;19.06.2026 12:11;5;4;4;3;3;5;5;5;3;2;2;;56;1;2;1;1;1;1;;6;;32;1;-9;;4;2;4;3;3;2;5;4;5;4;2;3;3;4;220;13;71;99;76;38;58;58;10;439;;19.06.2026 12:22;complete;1;0;9;9;3;0;0,45
369;;;aow1;interview;20.06.2026 19:28;5;5;5;6;6;7;7;7;5;2;2;;23;1;2;1;1;1;1;;5;;40;1;-9;;5;5;2;3;2;3;1;1;1;1;1;1;2;4;27;7;55;177;53;19;23;64;5;304;;20.06.2026 19:36;complete;1;0;9;9;3;0;0,77
370;;;aow1;interview;20.06.2026 20:03;4;6;5;4;5;5;7;6;6;2;2;;29;1;2;1;1;1;1;;8;Staatsexamen;40;1;-9;;5;5;5;5;5;1;3;4;5;2;3;2;3;2;19;5;28;26;32;8;16;23;2;159;;20.06.2026 20:06;complete;1;0;9;9;3;0;1,57
371;;;aow1;interview;20.06.2026 21:53;1;3;3;1;2;1;4;3;2;2;1;;23;1;2;1;1;1;1;;8;;41;1;-9;;5;5;5;4;1;1;2;3;5;3;1;1;4;4;45;59;48;172;40;12;35;27;2;265;;20.06.2026 22:00;complete;1;0;9;9;3;0;0,89
372;;;aow1;interview;21.06.2026 10:08;4;6;4;5;6;6;7;6;5;2;2;;30;1;2;1;1;1;1;;5;;30;1;-9;;3;4;5;3;4;1;3;2;4;3;1;1;4;3;17;5;63;88;60;59;97;43;5;331;;21.06.2026 10:15;complete;1;0;9;9;3;0;0,71
373;;;aow1;interview;21.06.2026 14:42;4;4;4;6;6;6;4;4;5;2;1;;34;1;2;1;1;1;1;;7;;30;1;-9;;4;4;5;2;4;4;2;2;2;2;2;2;4;3;29;4;21;55;76;14;25;28;2;254;;21.06.2026 14:46;complete;1;0;9;9;3;0;1,17
374;;;aow1;interview;21.06.2026 15:25;4;6;5;6;5;7;6;5;6;2;1;;30;2;2;2;1;1;1;;7;;25;1;-9;;5;3;2;2;3;1;1;2;2;1;1;1;3;2;18;3;17;59;461;24;20;17;2;211;;21.06.2026 15:36;complete;1;0;9;9;3;0;1,32
376;;;aow1;interview;21.06.2026 19:45;4;6;5;6;3;6;6;5;5;2;1;;27;2;2;2;1;1;1;;8;;26;1;-9;;3;4;5;2;4;1;2;1;2;1;1;1;4;2;50;4;31;35;63;22;50;33;2;290;;21.06.2026 19:50;complete;1;0;9;9;3;0;1,01
